StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,44,0,-inf,4.15,
2,44,1,4.15,8.100000000000001,
3,44,2,8.100000000000001,inf,
4,55,0,-inf,0.3333333333333333,
5,55,1,0.3333333333333333,0.6666666666666666,
6,55,2,0.6666666666666666,inf,
7,1,0,-inf,81.13333333333334,
8,1,1,81.13333333333334,161.76666666666668,
9,1,2,161.76666666666668,inf,
10,5,0,-inf,123.79666666666667,
11,5,1,123.79666666666667,246.92333333333332,
12,5,2,246.92333333333332,inf,
13,39,0,-inf,76.83333333333333,
14,39,1,76.83333333333333,149.76666666666665,
15,39,2,149.76666666666665,inf,
16,40,0,-inf,111.33332999999999,
17,40,1,111.33332999999999,219.86666,
18,40,2,219.86666,inf,
19,41,0,-inf,228.33333333333334,
20,41,1,228.33333333333334,392.6666666666667,
21,41,2,392.6666666666667,inf,
22,42,0,-inf,288.6666666666667,
23,42,1,288.6666666666667,545.3333333333334,
24,42,2,545.3333333333334,inf,
25,43,0,-inf,3.2666666666666666,
26,43,1,3.2666666666666666,4.533333333333333,
27,43,2,4.533333333333333,inf,
28,2,0,-inf,53.419999999999995,
29,2,1,53.419999999999995,106.50999999999999,
30,2,2,106.50999999999999,inf,
31,3,0,-inf,80.66666666666667,
32,3,1,80.66666666666667,160.33333333333334,
33,3,2,160.33333333333334,inf,
34,4,0,-inf,103.63333333333333,
35,4,1,103.63333333333333,206.76666666666665,
36,4,2,206.76666666666665,inf,
37,6,0,-inf,108.46666666666665,
38,6,1,108.46666666666665,214.4333333333333,
39,6,2,214.4333333333333,inf,
