StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,1,0,-inf,78.0,
2,1,1,78.0,90.0,
3,1,2,90.0,107.0,
4,1,3,107.0,inf,
5,2,0,-inf,17.0,
6,2,1,17.0,21.0,
7,2,2,21.0,25.0,
8,2,3,25.0,inf,
9,3,0,-inf,0.0,
10,3,1,0.0,67.0,
11,3,2,67.0,80.0,
12,3,3,80.0,inf,
13,999,0,-inf,0.5,
14,999,1,0.5,inf,
