Variable ID,Variable Name,Description
-1,class,classification
1,a,a
2,b,b
3,c,c
4,d,d
5,e,e
6,f,f
39,am,am
40,an,an
41,ao,ao
42,ap,ap
43,aq,aq
44,ar,ar
55,bc,bc
