EntityID,TemporalPropertyID,TimeStamp,StateID
6,1,4,1
6,1,5,1
6,1,6,1
6,1,8,1
6,1,9,1
6,1,11,1
6,1,15,1
6,1,17,1
6,1,18,1
6,1,19,1
6,1,20,1
6,1,22,1
6,1,23,1
6,1,24,1
6,1,27,1
6,1,28,1
6,1,29,1
6,1,30,1
6,1,31,2
6,1,36,1
6,1,37,2
6,1,38,2
6,1,40,2
6,1,42,2
6,1,45,1
6,1,49,2
7,1,12,1
7,1,13,1
7,1,14,1
7,1,16,1
7,1,17,1
7,1,18,1
7,1,20,1
7,1,31,1
7,1,32,1
7,1,34,1
7,1,37,1
7,1,44,1
7,1,45,1
7,1,48,1
7,1,49,2
8,1,5,1
7,2,13,3
7,2,14,3
7,2,16,3
7,2,17,3
7,2,18,3
7,2,20,3
7,2,31,3
7,2,32,3
7,2,44,3
7,2,45,3
7,2,46,3
7,2,47,3
7,2,48,3
7,2,49,3
7,2,52,3
7,2,53,3
7,3,17,5
7,3,31,5
7,3,32,5
7,3,33,5
7,3,34,5
7,3,35,5
7,3,36,5
7,3,37,5
7,3,38,5
7,3,39,5
7,3,40,5
7,3,41,5
7,3,42,5
7,3,43,5
7,3,44,5
7,3,45,5
7,3,46,5
7,3,47,5
7,3,48,5
7,3,49,5
7,3,51,5
7,3,52,5
7,3,53,5
7,4,13,7
7,4,28,8
7,4,45,8
6,5,9,9
6,5,12,9
6,5,17,9
6,5,24,9
6,5,31,9
6,5,34,9
6,5,42,9
6,5,51,9
7,5,41,9
7,5,45,9
7,6,12,11
7,6,13,12
7,6,14,12
7,6,16,12
7,6,17,12
7,6,28,12
7,6,29,12
7,6,31,12
7,6,32,12
7,6,33,12
7,6,35,12
7,6,36,12
7,6,37,12
7,6,38,12
7,6,40,12
7,6,41,12
7,6,42,12
7,6,43,12
7,6,44,12
7,6,45,12
7,6,46,12
7,6,47,12
7,6,48,12
7,6,49,12
7,6,50,12
7,6,51,12
7,6,52,12
7,6,53,12
8,6,5,12
6,39,9,14
6,39,10,14
6,39,11,14
6,39,12,14
6,39,13,14
6,39,14,14
6,39,15,14
6,39,16,14
6,39,17,14
6,39,18,14
6,39,19,14
6,39,20,14
6,39,21,14
6,39,22,14
6,39,23,14
6,39,24,14
6,39,25,14
6,39,26,14
6,39,27,14
6,39,28,14
6,39,29,14
6,39,30,14
6,39,31,14
6,39,32,13
6,39,33,13
6,39,34,13
6,39,35,13
6,39,36,13
6,39,37,13
6,39,38,13
6,39,39,13
