StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,1,0,-inf,81.0,
2,1,1,81.0,100.0,
3,1,2,100.0,inf,
4,2,0,-inf,18.0,
5,2,1,18.0,23.0,
6,2,2,23.0,inf,
7,3,0,-inf,61.0,
8,3,1,61.0,72.0,
9,3,2,72.0,inf,
10,999,0,-inf,0.0,
11,999,1,0.0,1.0,
12,999,2,1.0,inf,
