StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,1,0,-inf,-0.5446953774559535,
2,1,1,-0.5446953774559535,0.5576434835172581,
3,1,2,0.5576434835172581,inf,
4,999,0,-inf,3.4939564553613858,
5,999,1,3.4939564553613858,6.246792927104103,
6,999,2,6.246792927104103,inf,
