TemporalPropertyID,PAAWindowSize,StdCoefficient,MaxGap
1,1,,5
2,1,,5
3,1,,5
4,1,,5
5,1,,5
6,1,,5
39,1,,5
40,1,,5
41,1,,5
42,1,,5
43,1,,5
44,1,,5
55,1,,5
